"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"284561";"http://www.cranesinspect.eu";"38636724e129fb97faf499966edf831e";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"606080";"http://condimon.eu/";"01da1fd376972063bec5c139c80298e6";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"280424";"http://www.foodconference2011.inhort.pl/";"6cbb6511c706381b49f2400bf4f4ddce";"en";"invalid";"2022-04-26 00:00:00";"relatedWebsite";"corda";"project"
"247541";"http://www.northumbria.ac.uk/sd/academic/ee/work/research/msa/biomathematics/matsiqel/";"f61d3c7ba60e60fbea01280ed08a5b38";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"243737";"http://www.ezline.info";"dee1980ef1278ab2aabbe63c4353ef99";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"607567";"http://www.ipatchproject.eu";"8b875732d982a0c9fb5981d7c8477a30";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"315551";"http://www.imatec.is";"7703922e5b6f79329badd18861408e3a";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"312573";"http://www.smartpif.eu";"72443840f30848c2425326c1f8dcac69";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"312573";"http://www.smartpif.eu/";"f49f3887c377ea824b8c3318bc323eb6";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"250358";"http://www.gold.ac.uk/medea/";"2c9f57c4392500e16ed3463562eb6039";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"315454";"http://www.contactica.es";"0233023736c45d41fe5af25a81dc130c";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"315454";"http://www.contactica.es/wheysan/";"927c0dc74abdb0a9e5001abd4d3d11fa";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"262308";"http://www.pp-mips.eu";"5b20686cfb9b2cdfcd87397b9d6fd21c";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"605065";"http://www.soimon.eu";"27159d5c1405146abd3d3028f0512196";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"605228";"http://www.steamdry.eu/";"2757ed7eef4440c9d374aef6a42950ef";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"306927";"http://klean.cnit.it";"c68c8fa6c333a17ea2c49d24a28285c8";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
